scheme_code,isin_growth,isin_reinvestment,scheme_name,nav,date
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,105.8482,2026-06-17
119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,116.9939,2026-06-17
119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,103.8995,2026-06-17
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,148.1955,2026-06-17
110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,112.317,2026-06-17
108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,101.5356,2026-06-17
110490,INF209K01LR8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,114.1309,2026-06-17
106157,INF209K01LS6,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,102.7311,2026-06-17
108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,383.9082,2026-06-17
103176,INF209K01LT4,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,576.2984,2026-06-17
119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,399.7445,2026-06-17
128952,INF846K01NF8,-,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,2017-06-14
120437,-,INF846K01CU0,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.131,2026-06-17
120438,INF846K01CR6,-,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2864.1268,2026-06-17
120439,INF846K01CT2,INF846K01CS4,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1044.2755,2026-06-17
120436,INF846K01CV8,INF846K01CW6,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.6606,2026-06-17
128953,INF846K01NG6,-,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,2015-05-18
117447,-,INF846K01CC8,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1039.1303,2026-06-17
117446,INF846K01CB0,-,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2770.0108,2026-06-17
117449,INF846K01CF1,INF846K01CG9,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1043.8544,2026-06-17
117448,INF846K01CD6,INF846K01CE4,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1038.6421,2026-06-17
152164,INF0QA701649,INF0QA701631,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,10.9766,2026-06-17
152163,INF0QA701615,INF0QA701623,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,12.0931,2026-06-17
152165,INF0QA701557,-,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,11.9218,2026-06-17
152166,INF0QA701565,INF0QA701573,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,11.9218,2026-06-17
152162,INF0QA701607,-,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,12.0931,2026-06-17
152167,INF0QA701599,INF0QA701581,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.9079,2026-06-17
121936,INF194K019M8,-,Bandhan Banking and PSU Fund - Direct Annual IDCW,12.2441,2026-06-17
127471,-,INF194KA1JD3,Bandhan Banking and PSU Fund - Direct Daily IDCW,10.4768,2026-06-17
121934,-,INF194K010N5,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,10.4547,2026-06-17
121279,INF194K015G8,-,Bandhan Banking and PSU Fund - Direct Growth,26.7621,2026-06-17
121281,INF194K016G6,INF194K017G4,Bandhan Banking and PSU Fund - Direct IDCW,14.0775,2026-06-17
121935,-,INF194K011N3,Bandhan Banking and PSU Fund - Direct Monthly IDCW,10.5646,2026-06-17
121938,INF194K018M0,-,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,11.1476,2026-06-17
121933,INF194K015M6,-,Bandhan Banking and PSU Fund - Regular Annual IDCW,11.2702,2026-06-17
127470,-,INF194KA1JC5,Bandhan Banking and PSU Fund - Regular Daily IDCW,10.8788,2026-06-17
121931,-,INF194K016M4,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,10.6104,2026-06-17
121280,INF194K01SN6,-,Bandhan Banking and PSU Fund - Regular Growth,25.9287,2026-06-17
121282,INF194K01SO4,INF194K012D2,Bandhan Banking and PSU Fund - Regular IDCW,14.0013,2026-06-17
121932,-,INF194K017M2,Bandhan Banking and PSU Fund - Regular Monthly IDCW,10.81,2026-06-17
121937,INF194K014M9,-,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,11.0359,2026-06-17
150505,INF760K01KC4,-,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.7677,2026-06-17
150507,INF760K01KE0,INF760K01KD2,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.9725,2026-06-17
150503,INF760K01KF7,-,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,12.6207,2026-06-17
150504,INF760K01KH3,INF760K01KG5,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.8582,2026-06-17
124175,INF740K01ZW2,-,DSP Banking & PSU Debt Fund - Direct Plan - Growth,26.0411,2026-06-17
124178,INF740K01A18,INF740K01A26,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.5096,2026-06-17
124182,-,INF740KA1OF7,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1885,2026-06-17
124176,INF740K01ZX0,INF740K01ZY8,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.5135,2026-06-17
124177,INF740K01ZZ5,INF740K01A00,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.5715,2026-06-17
124183,INF740KA1OG5,INF740KA1OH3,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.2159,2026-06-17
124172,INF740K01ZP6,-,DSP Banking & PSU Debt Fund - Regular Plan - Growth,25.0847,2026-06-17
124174,INF740K01ZU6,INF740K01ZV4,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.5001,2026-06-17
