scheme_code,scheme_name,fund_house,category
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life,Debt
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Aditya Birla Sun Life,Debt
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Aditya Birla Sun Life,Debt
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Aditya Birla Sun Life,Debt
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Aditya Birla Sun Life,Debt
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,Axis Banking & PSU,Debt
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Axis Banking & PSU,Debt
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Axis Banking & PSU,Debt
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,Axis Banking & PSU,Debt
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,Axis Banking & PSU,Debt
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,Bajaj Finserv Banking and,Other
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,Bajaj Finserv Banking and,Other
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,Bajaj Finserv Banking and,Other
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,Bajaj Finserv Banking and,Other
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,Bajaj Finserv Banking and,Other
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,Bandhan Banking and PSU,Other
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,Bandhan Banking and PSU,Other
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,Bandhan Banking and PSU,Other
121279,Bandhan Banking and PSU Fund - Direct Growth,Bandhan Banking and PSU,Other
121281,Bandhan Banking and PSU Fund - Direct IDCW,Bandhan Banking and PSU,Other
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Canara Robeco Banking and,Debt
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,Canara Robeco Banking and,Debt
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,Canara Robeco Banking and,Debt
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),Canara Robeco Banking and,Debt
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,DSP Banking & PSU,Debt
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,DSP Banking & PSU,Debt
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,DSP Banking & PSU,Debt
